Categoria,Categoria_num,COD. ESTADO,UF,ESTADO,c3.0.00.00.00.00,c3.1.00.00.00.00,c3.1.30.00.00.00,c3.1.35.00.00.00,c3.1.36.00.00.00,c3.1.45.00.00.00,c3.1.46.00.00.00,c3.1.70.00.00.00,c3.1.71.00.00.00,c3.1.73.00.00.00,c3.1.74.00.00.00,c3.1.75.00.00.00,c3.1.76.00.00.00,c3.1.90.00.00.00,c3.1.90.01.00.00,c3.1.90.03.00.00,c3.1.90.04.00.00,c3.1.90.04.01.00,c3.1.90.04.99.00,c3.1.90.05.00.00,c3.1.90.07.00.00,c3.1.90.11.00.00,c3.1.90.11.01.00,c3.1.90.11.99.00,c3.1.90.12.00.00,c3.1.90.13.00.00,c3.1.90.16.00.00,c3.1.90.17.00.00,c3.1.90.91.00.00,c3.1.90.92.00.00,c3.1.90.92.01.00,c3.1.90.92.03.00,c3.1.90.92.04.00,c3.1.90.92.05.00,c3.1.90.92.07.00,c3.1.90.92.11.00,c3.1.90.92.12.00,c3.1.90.92.13.00,c3.1.90.92.16.00,c3.1.90.92.17.00,c3.1.90.92.91.00,c3.1.90.92.94.00,c3.1.90.92.96.00,c3.1.90.92.99.00,c3.1.90.94.00.00,c3.1.90.94.01.00,c3.1.90.94.02.00,c3.1.90.94.03.00,c3.1.90.94.04.00,c3.1.90.94.06.00,c3.1.90.94.13.00,c3.1.90.94.99.00,c3.1.90.96.00.00,c3.1.90.99.00.00,c3.1.91.00.00.00,c3.1.91.04.00.00,c3.1.91.13.00.00,c3.1.91.91.00.00,c3.1.91.94.00.00,c3.1.91.96.00.00,c3.1.91.99.00.00,c3.1.95.00.00.00,c3.1.96.00.00.00,c3.1.99.00.00.00,c3.2.00.00.00.00,c3.2.71.00.00.00,c3.2.73.00.00.00,c3.2.74.00.00.00,c3.2.90.00.00.00,c3.2.95.00.00.00,c3.2.96.00.00.00,c3.2.99.00.00.00,c3.3.00.00.00.00,c3.3.20.00.00.00,c3.3.30.00.00.00,c3.3.30.30.00.00,c3.3.30.30.01.00,c3.3.30.30.99.00,c3.3.30.99.00.00,c3.3.31.00.00.00,c3.3.32.00.00.00,c3.3.35.00.00.00,c3.3.36.00.00.00,c3.3.40.00.00.00,c3.3.40.30.00.00,c3.3.40.30.01.00,c3.3.40.30.99.00,c3.3.40.41.00.00,c3.3.40.81.00.00,c3.3.40.81.51.00,c3.3.40.81.52.00,c3.3.40.81.53.00,c3.3.40.81.54.00,c3.3.40.81.99.00,c3.3.40.91.00.00,c3.3.40.92.00.00,c3.3.40.93.00.00,c3.3.40.99.00.00,c3.3.41.00.00.00,c3.3.41.41.00.00,c3.3.41.92.00.00,c3.3.41.99.00.00,c3.3.42.00.00.00,c3.3.45.00.00.00,c3.3.46.00.00.00,c3.3.50.00.00.00,c3.3.50.39.00.00,c3.3.50.39.36.00,c3.3.50.39.36.01,c3.3.50.39.36.02,c3.3.50.39.36.03,c3.3.50.39.36.99,c3.3.50.39.50.00,c3.3.50.41.00.00,c3.3.50.43.00.00,c3.3.50.99.00.00,c3.3.60.00.00.00,c3.3.70.00.00.00,c3.3.71.00.00.00,c3.3.72.00.00.00,c3.3.73.00.00.00,c3.3.74.00.00.00,c3.3.75.00.00.00,c3.3.76.00.00.00,c3.3.90.00.00.00,c3.3.90.04.00.00,c3.3.90.04.01.00,c3.3.90.04.01.99,c3.3.90.04.99.00,c3.3.90.08.00.00,c3.3.90.14.00.00,c3.3.90.15.00.00,c3.3.90.18.00.00,c3.3.90.19.00.00,c3.3.90.20.00.00,c3.3.90.30.00.00,c3.3.90.30.01.00,c3.3.90.30.09.00,c3.3.90.30.09.01,c3.3.90.30.09.02,c3.3.90.30.10.00,c3.3.90.30.11.00,c3.3.90.30.16.00,c3.3.90.30.17.00,c3.3.90.30.20.00,c3.3.90.30.21.00,c3.3.90.30.23.00,c3.3.90.30.28.00,c3.3.90.30.35.00,c3.3.90.30.36.00,c3.3.90.30.36.01,c3.3.90.30.36.02,c3.3.90.30.39.00,c3.3.90.30.99.00,c3.3.90.31.00.00,c3.3.90.32.00.00,c3.3.90.33.00.00,c3.3.90.34.00.00,c3.3.90.34.01.00,c3.3.90.35.00.00,c3.3.90.36.00.00,c3.3.90.36.08.00,c3.3.90.36.30.00,c3.3.90.36.99.00,c3.3.90.37.00.00,c3.3.90.38.00.00,c3.3.90.39.00.00,c3.3.90.39.17.00,c3.3.90.39.43.00,c3.3.90.39.44.00,c3.3.90.39.47.00,c3.3.90.39.50.00,c3.3.90.39.50.01,c3.3.90.39.50.02,c3.3.90.39.50.99,c3.3.90.39.99.00,c3.3.90.41.00.00,c3.3.90.46.00.00,c3.3.90.47.00.00,c3.3.90.48.00.00,c3.3.90.48.06.00,c3.3.90.48.07.00,c3.3.90.48.99.00,c3.3.90.49.00.00,c3.3.90.67.00.00,c3.3.90.83.00.00,c3.3.90.91.00.00,c3.3.90.92.00.00,c3.3.90.93.00.00,c3.3.90.95.00.00,c3.3.90.96.00.00,c3.3.90.99.00.00,c3.3.91.00.00.00,c3.3.91.04.00.00,c3.3.91.30.00.00,c3.3.91.30.09.00,c3.3.91.30.10.00,c3.3.91.30.35.00,c3.3.91.30.36.00,c3.3.91.30.99.00,c3.3.91.32.00.00,c3.3.91.39.00.00,c3.3.91.39.17.00,c3.3.91.39.50.00,c3.3.91.47.00.00,c3.3.91.91.00.00,c3.3.91.92.00.00,c3.3.91.93.00.00,c3.3.91.96.00.00,c3.3.91.97.00.00,c3.3.91.99.00.00,c3.3.93.00.00.00,c3.3.93.30.00.00,c3.3.93.32.00.00,c3.3.93.39.00.00,c3.3.94.00.00.00,c3.3.94.30.00.00,c3.3.94.32.00.00,c3.3.94.39.00.00,c3.3.95.00.00.00,c3.3.96.00.00.00,c3.3.99.00.00.00,c4.0.00.00.00.00,c4.4.00.00.00.00,c4.4.20.00.00.00,c4.4.30.00.00.00,c4.4.31.00.00.00,c4.4.32.00.00.00,c4.4.35.00.00.00,c4.4.36.00.00.00,c4.4.40.00.00.00,c4.4.41.00.00.00,c4.4.42.00.00.00,c4.4.45.00.00.00,c4.4.46.00.00.00,c4.4.50.00.00.00,c4.4.70.00.00.00,c4.4.71.00.00.00,c4.4.72.00.00.00,c4.4.73.00.00.00,c4.4.74.00.00.00,c4.4.75.00.00.00,c4.4.76.00.00.00,c4.4.90.00.00.00,c4.4.90.04.00.00,c4.4.90.04.02.00,c4.4.90.04.08.00,c4.4.90.14.00.00,c4.4.90.15.00.00,c4.4.90.17.00.00,c4.4.90.18.00.00,c4.4.90.20.00.00,c4.4.90.30.00.00,c4.4.90.30.09.00,c4.4.90.30.10.00,c4.4.90.30.35.00,c4.4.90.30.36.00,c4.4.90.30.99.00,c4.4.90.33.00.00,c4.4.90.35.00.00,c4.4.90.36.00.00,c4.4.90.36.30.00,c4.4.90.36.99.00,c4.4.90.39.00.00,c4.4.90.47.00.00,c4.4.90.51.00.00,c4.4.90.52.00.00,c4.4.90.52.08.00,c4.4.90.52.99.00,c4.4.90.61.00.00,c4.4.90.91.00.00,c4.4.90.92.00.00,c4.4.90.93.00.00,c4.4.90.99.00.00,c4.4.91.00.00.00,c4.4.91.39.00.00,c4.4.91.51.00.00,c4.4.91.52.00.00,c4.4.91.52.08.00,c4.4.91.52.99.00,c4.4.91.91.00.00,c4.4.91.99.00.00,c4.4.95.00.00.00,c4.4.96.00.00.00,c4.4.99.00.00.00,c4.5.00.00.00.00,c4.5.20.00.00.00,c4.5.35.00.00.00,c4.5.36.00.00.00,c4.5.40.00.00.00,c4.5.42.00.00.00,c4.5.45.00.00.00,c4.5.46.00.00.00,c4.5.70.00.00.00,c4.5.71.00.00.00,c4.5.72.00.00.00,c4.5.73.00.00.00,c4.5.74.00.00.00,c4.5.90.00.00.00,c4.5.90.61.00.00,c4.5.90.62.00.00,c4.5.90.63.00.00,c4.5.90.64.00.00,c4.5.90.65.00.00,c4.5.90.66.00.00,c4.5.90.67.00.00,c4.5.90.82.00.00,c4.5.90.83.00.00,c4.5.90.91.00.00,c4.5.90.92.00.00,c4.5.90.93.00.00,c4.5.90.99.00.00,c4.5.91.00.00.00,c4.5.91.61.00.00,c4.5.91.91.00.00,c4.5.91.92.00.00,c4.5.91.99.00.00,c4.5.99.00.00.00,c4.6.00.00.00.00,c4.6.35.00.00.00,c4.6.36.00.00.00,c4.6.45.00.00.00,c4.6.46.00.00.00,c4.6.71.00.00.00,c4.6.73.00.00.00,c4.6.74.00.00.00,c4.6.90.00.00.00,c4.6.99.00.00.00,cACDO000001,cACDO000002,cACDO000003,cACDO000004,cACDO000005,cACDO000006,cACDO000007
Dotação Atualizada,2,27,AL,Alagoas,470091244.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470091244.0,,,,,,,,,,,160639250.0,,,,,,,,,,,,,,,160639250.0,160639250.0,,,,,,8715000.0,,,,,,,,8715000.0,,,,,,,,,,,291785361.0,,,,,,101195.0,,,,,12804554.0,,,,,,,,,,,,,,,,,,12804554.0,,65000.0,273522.0,,,,98719836.0,,,98719836.0,7150000.0,,152528008.0,,,,,,,,,152528008.0,,,20143246.0,,,,,,,,,,,,,,6000.0,,,,,,,,,,,,6000.0,,,,,,,,,,,8945633.0,,,8945633.0,,,,49871775.0,49871775.0,,,,,,,,,,,,,,,,,,,,49871775.0,,,,,,,,,,,,,,,,,,,,,,28556775.0,21315000.0,,21315000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519963019.0,,10000.0,,,,519953019.0
Dotação Atualizada,2,16,AP,Amapá,115207004.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115207004.0,,,,,,,,,,,1600000.0,,,,1600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113607004.0,,,,,,503271.0,,,,,22891220.0,,,,,,,,,,,,,,,,,,22891220.0,,600000.0,702218.0,,,,813187.0,,,813187.0,1850000.0,,81437449.0,,,,,,,,,81437449.0,,,,4809659.0,,,4809659.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2677000.0,2677000.0,,,,,,,,,,,,,,,,,,,,2677000.0,,,,,,,,,,,,,,,,,,,,,,1400000.0,1277000.0,,1277000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117884004.0,,,,,,117884004.0
Dotação Atualizada,2,13,AM,Amazonas,710135000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,710135000.0,,,,,,,,,,,100000.0,,,,,,,,,,,,,,,100000.0,100000.0,,,,,,56660000.0,,,,,,,,774000.0,55886000.0,,,,,,,,,,653375000.0,,,,,,50000.0,,,,,8043000.0,,,,,,,,,,,,,,,,,,8043000.0,,150000.0,3810000.0,298457000.0,298457000.0,,,,,,7741000.0,,150189000.0,,,,,,,,,150189000.0,,,30000.0,,,,,,,,,,184837000.0,,,68000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,710135000.0,,,,,,710135000.0
Dotação Atualizada,2,29,BA,Bahia,1965300297.0,40840000.0,,,,,,,40840000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1924460297.0,,,,,,,,,,,66970000.0,,,,2430000.0,,,,,,,,,,,64540000.0,64540000.0,,,,,,909099.0,,,,,,,,,909099.0,,,,52366000.0,,,,,,1775625198.0,,,,,,839000.0,,,,,200723000.0,,,,,,,,,,,,,,,,,,200723000.0,,,602000.0,,,,161000.0,,,161000.0,179879000.0,,1058360000.0,,,,,,,,,1058360000.0,,,,,,,,,,,,,,,,335061198.0,28590000.0,246000.0,,,,,,,,,,,,,,,,,28344000.0,,,,,,,,,,,,161422714.0,133514714.0,200000.0,,,,,,,6206062.0,,,,1600000.0,,,,,,,,125508652.0,,,,,,,,,,,,,,,,,,,,,,45221000.0,80287652.0,,80287652.0,,,,,,,,,,,,,,,,,27908000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27908000.0,,,,,,,,,,,2126723011.0,,28590000.0,,,,2098133011.0
Dotação Atualizada,2,23,CE,Ceará,2035173431.0,350005521.0,,,,,,,,,,,,350005521.0,,,,,,120000.0,,217603435.0,217603435.0,,,64007716.0,18083475.0,,,4257369.0,,,,,,,,,,,,,,4257369.0,,,,,,,,,45933526.0,,,,,,,,,,,,,,,,,,,,1685167910.0,,,,,,,,,,,287325726.0,,,,5000.0,,,,,,,,,,,287320726.0,287320726.0,,,,,,355781258.0,342494034.0,342494034.0,,,,342494034.0,,13287224.0,,,,,102291703.0,,,,,,938768447.0,,,,,,103973.0,,,,,142312755.0,,,,,,,,,,,,,,,,,,142312755.0,,131315618.0,144483.0,470899541.0,470899541.0,1074134.0,585736.0,,,585736.0,87223078.0,,103056916.0,,,,,,,,,103056916.0,,,40213.0,,,,,,,,,2012000.0,,,,,1000776.0,,,,,,,,,1000000.0,,1000000.0,776.0,,,,,,,,,,,,,,,,,,10996632.0,10996632.0,,,,,,,5000.0,,,,,,,,,,,,,10991632.0,,,,,,,,,,,,,,,,450623.0,,,,2234900.0,,6481303.0,1824806.0,,1824806.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2046170063.0,,70645000.0,120000.0,,,1975525063.0
Dotação Atualizada,2,53,DF,Distrito Federal,490033337.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490033337.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198667015.0,63036496.0,,,,,,63036496.0,,,135630519.0,,,,,,,,,291366322.0,,,,,,,,,,,9000000.0,,,,,,,,,,,,,,,,,,9000000.0,,,,,,,,,,,,,279316322.0,,,,,,,,,279316322.0,,,,,,,,,,,,3050000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11959000.0,11959000.0,,,,,,,,,,,,,,,,,,,,11959000.0,,,,,,,,,,,,,,,,,,,,,,4000000.0,7959000.0,,7959000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501992337.0,,,,,,501992337.0
Dotação Atualizada,2,32,ES,Espírito Santo,709541088.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,709541088.0,7140000.0,,,,,,,,,,35233633.0,,,,2701000.0,,,,,,,,,,,32532633.0,32532633.0,,,,,,201897945.0,198372945.0,198372945.0,,,,198372945.0,,,3525000.0,,,6942367.0,,,,,,,457328243.0,,,,,,348800.0,,,,,47906713.0,341485.99,6338917.36,6338917.36,,5671.74,3786604.02,298062.21,70005.53,183324.55,50383.84,314270.79,10112740.66,4073903.41,8262709.54,,8262709.54,81366.36,13987267.0,,300000.0,2307800.0,127540500.0,127540500.0,,553600.0,,,553600.0,47167853.0,,164662127.0,8421934.41,9753451.03,4281551.93,17081.62,102965882.82,,,102965882.82,39222225.19,,,59200.0,1588000.0,,,1588000.0,1867936.0,,,62392114.0,633600.0,,,,,998900.0,,,,,,,,,988800.0,988800.0,,10100.0,,,,,,,,,,,,,,,,,,2496000.0,2496000.0,10000.0,,,,,,740000.0,,,,,1681000.0,,,,,,,,65000.0,,,,,,,,,,,,,,,,,,,,,,,65000.0,58149.74,6850.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712037088.0,,,,,,712037088.0
Dotação Atualizada,2,52,GO,Goiás,1361701000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1361701000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1361701000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1361701000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141675000.0,141675000.0,,,,,,,,,,,,,,,,,,,,141675000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141675000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1503376000.0,,,,,,1503376000.0
Dotação Atualizada,2,21,MA,Maranhão,1383041478.0,3937284.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3937284.0,,,,,,3937284.0,,,,,,,,,,,,1379104194.0,,,,,,,,,,,71873513.0,,,,,,,,,,,,,,,71873513.0,,,71873513.0,,,,4534513.0,,,,,,,,,,4534513.0,,,,,,,,,1302696168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1302696168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22565273.0,22565273.0,,,,,,,,,,,,150000.0,,,,,,,,22415273.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22415273.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1405606751.0,,11137284.0,,,,1394469467.0
Dotação Atualizada,2,51,MT,Mato Grosso,575901364.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575901364.0,,,,,,,,,,,211543866.0,,,,,,,,,,,,,,,211543866.0,211543866.0,,,,,,19512907.0,,,,,,,,,19512907.0,,1200000.0,,,,,,,,343644591.0,,,,,,1000000.0,,1500000.0,,,51028976.0,,,,,,,,,,,,,,,,,,51028976.0,,20000000.0,1500000.0,,,1712442.0,5500000.0,,,5500000.0,20000000.0,,172221406.0,,,,,,,,,172221406.0,200000.0,,1000000.0,31000000.0,,,31000000.0,,,,16095767.0,18286000.0,2600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70965945.0,70965945.0,,,,,,,250000.0,,,,,,,,,,,,,70715945.0,,,,,,,,,,,,,,,,,,,,,,40715945.0,30000000.0,,30000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646867309.0,,,,,,646867309.0
Dotação Atualizada,2,50,MS,Mato Grosso do Sul,660235800.0,267861400.0,,,,,,,,,,,,267861400.0,,,,,,,,260541400.0,260541400.0,,,,120000.0,,7200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392374400.0,,,,,,,,,,,230757000.0,,,,5177600.0,,,,,,,,,,,225579400.0,225579400.0,,,,,,12153700.0,,,,,,,,12153700.0,,,,,,,,,,,149463700.0,,,,,27000.0,318000.0,,100000.0,,,37256000.0,,,,,,,51000.0,20000.0,,,,2500000.0,,34595000.0,,34595000.0,,90000.0,,2400000.0,209000.0,,,,472000.0,,,472000.0,,,103444100.0,,,,,14120000.0,14120000.0,,,89324100.0,,,,1250000.0,,,1250000.0,3603600.0,,,,,384000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30389200.0,30389200.0,,,,,,,6325000.0,,,,,2000000.0,,,,,,,,22064200.0,,,,,,,,,,,,,,,,,,,,,,19959200.0,2105000.0,1950000.0,155000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690625000.0,,,,,,690625000.0
Dotação Atualizada,2,31,MG,Minas Gerais,3508616373.0,911811529.0,,,,,,,,,,,,800126477.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800126477.0,111685052.0,,,,,,111685052.0,,,,,,,,,,,,2596804844.0,,,,,,,,,,,982345255.0,,,,,,,,,,,,,,,982345255.0,,,982345255.0,,,,,,,,,,,,,,,,,,,,,,,1521034806.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1521034806.0,59134968.0,,,,,,,,,,,,,,,,,,59134968.0,,,,,,,,,,,34289815.0,166461549.0,166461549.0,,,,,,,,8500000.0,,,,,,,,,,,,84544347.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84544347.0,,,,,,,,,,,73417202.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3675077922.0,,,,,,3675077922.0
Dotação Atualizada,2,15,PA,Pará,881117575.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,881117575.0,,,,,,,,,,,58832300.0,,,,1010000.0,,,,,,,,,,,57822300.0,,,57822300.0,,,,574528703.0,,,,,,,,,574528703.0,,,,,,,,,,247756572.0,,,,,,1404615.0,,,,,116155391.0,,,,,,,,,,,,,,,,,,116155391.0,,4723141.0,12243377.0,,,70000.0,9989645.0,,,9989645.0,25955173.0,,71923802.0,,,,,,,,,71923802.0,21429.0,,643855.0,4626144.0,,,4626144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38560000.0,38510000.0,,,,,,,6100000.0,,,,,,,,,,,,,32410000.0,,,,,,,,,,,,,,,,,,,,50000.0,,29020000.0,3340000.0,,3340000.0,,,,,,,,,,,,,,,,,50000.0,,,,,,,,,,,,,50000.0,50000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,919677575.0,,,,,,919677575.0
Dotação Atualizada,2,25,PB,Paraíba,520910742.0,1320000.0,,,,,,,,,,,,1320000.0,,,,,,,,1320000.0,,1320000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519590742.0,,,,,,,,,,,43374534.0,,,,43374534.0,,,,,,,,,,,,,,,,,,22323974.0,,,,,,,,,22323974.0,,,,,,,,,,453672234.0,,,,,,506000.0,,,,,87698254.0,,,,,,,,,,,,,,,,,,87698254.0,,3000000.0,805000.0,,,2810200.0,105000.0,,,105000.0,,,356526980.0,,,,,,,,,356526980.0,,,220800.0,,,,,,,,1000000.0,,1000000.0,,,,220000.0,,,,,,,,,220000.0,220000.0,,,,,,,,,,,,,,,,,,,,67080576.0,67080576.0,,,,,,,22969772.0,,,,,,,,,,,,,44110804.0,,,,,,,,,,,,,,,,,,,,2747579.0,,24800000.0,16563225.0,,16563225.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,587991318.0,,,,,,587991318.0
Dotação Atualizada,2,41,PR,Paraná,822022467.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,822022467.0,,,,,,,,,,,125373629.0,,,,,,,,,,,,,,,125373629.0,125373629.0,,,,,,7320000.0,,,,,,,,,7320000.0,,,,,,,,,,689328838.0,,,,,,75000.0,,,,,5753456.0,,,,,,650000.0,250000.0,,,,,,600000.0,,,,,4253456.0,,,,4586327.0,4586327.0,,400000.0,,,400000.0,4344540.0,,670501115.0,75000.0,,,,450000000.0,,,450000000.0,220426115.0,,,600000.0,,,,,,,,,3050400.0,,,,18000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42182723.0,42182723.0,,,,,,,,14000000.0,,,,27182723.0,,,,,,,,1000000.0,,,,,,,,,,,,,,,,,,,,,,,1000000.0,,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,864205190.0,,,,,,864205190.0
Dotação Atualizada,2,26,PE,Pernambuco,3033128200.01,1137721500.01,,,,,,,,,,,,1137293500.01,,,54527639.49,49250693.55,5276945.94,,,1042471394.31,866018965.68,176452428.63,39158356.56,1253.12,17036.99,,,105490.71,,,,,,,,,,,,,,105490.71,1012328.83,67466.18,,,,,,944862.65,,,,,,,,,,,,428000.0,,,,,,,,,1895406700.0,19500.0,,,,,,,,,,1972400.0,,,,,,,,,,,,,,,1972400.0,,,1972400.0,,,,620397800.0,,,,,,,,,576455593.08,43942206.92,,,,,,,,,966556000.0,,,,,420957.33,67492.4,,,,,192089942.57,2109.93,44334660.52,44334660.52,,290885.35,65797.11,1001316.48,141853.57,312814.43,102160.84,611387.13,19276109.66,12151583.26,89278145.71,,89278145.71,960.94,24520157.64,,10432793.93,3394856.63,,,,63472623.59,,3020056.09,60452567.5,50400290.58,,406101687.32,10899854.52,15260039.74,7045969.66,645.3,318149657.44,,,318149657.44,54745520.66,,,25311583.46,57746254.59,,,57746254.59,,14819.32,,,151765756.35,4828856.62,,,508085.31,306461000.0,,,,,,,,,303352503.93,,303352503.93,,,3108496.07,,,,,,,,,,,,,,,,2398400.0,2398400.0,,,,,,,,,,,,915000.0,,,,,,,,1483400.0,,,,,,,,,,,,,,,,,,,,,,67830.68,1415569.32,1398611.65,16957.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3035526600.01,,237650900.0,,,,2797875700.01
Dotação Atualizada,2,22,PI,Piauí,159808014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159808014.0,,,,,,,,,,,14050000.0,,,,14050000.0,,,,,,,,,,,,,,,,,,15437338.0,,,,,,,,15437338.0,,,,,,,,,,,130320676.0,,,,,,555000.0,,,,,22769000.0,,,,,,,,,,,,,,,,,,22769000.0,,,4755000.0,,,,30889000.0,,,30889000.0,,,36561676.0,,,,,,,,,36561676.0,,,2619000.0,,,,,,,,,32152000.0,,,,20000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23163015.0,23163015.0,,,,,,,1804338.0,,,,,704338.0,,,,,,,,20604339.0,,,,,,,,,,,,,,,,,,,,,,11300000.0,5304339.0,,5304339.0,,,4000000.0,,,,,,,,,,,,,50000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182971029.0,,,,,,182971029.0
